Pruning Rate,mAP50,mAP50-95,Params(M),GFLOPs
0.0,0.5870125109291021,0.35911424458572216,2.62,6.6
0.3,0.5898608396022174,0.3593491616102764,2.24,5.6
0.5,0.5897452253854305,0.35936241079243675,1.93,4.7
0.8,0.5898151448437392,0.35943121746690043,1.43,4.6
